,W,W Pts,L,L Pts,Hash
127,96,45,100,20,96045100020
128,99,27,97,10,99027097010
129,103,28,79,19,103028079019
130,105,29,10,16,105029010016
131,101,41,45,20,101041045020
132,107,59,50,45,107059050045
133,108,52,34,17,108052034017
134,109,37,98,31,109037098031
135,114,17,17,14,114017017014
136,116,34,92,17,116034092017
137,122,49,14,0,122049014000
138,127,56,41,6,127056041006
139,123,31,60,24,123031060024
140,124,34,42,10,124034042010
141,129,23,37,17,129023037017
142,22,26,38,7,22026038007
143,28,27,130,24,28027130024
144,101,33,93,3,101033093003
145,116,31,97,27,116031097027
146,1,27,117,20,1027117020
147,3,48,48,0,3048048000
148,4,45,2,38,4045002038
149,6,51,19,41,6051019041
150,10,18,54,13,10018054013
151,11,31,30,27,11031030027
152,12,35,82,24,12035082024
153,13,38,85,24,13038085024
154,16,23,9,20,16023009020
155,113,53,31,14,113053031014
156,21,27,60,20,21027060020
157,24,41,84,38,24041084038
158,27,38,78,35,27038078035
159,33,55,96,35,33055096035
160,40,64,106,3,40064106003
161,41,33,115,30,41033115030
162,44,14,90,7,44014090007
163,45,44,92,10,45044092010
164,49,17,95,10,49017095010
165,53,59,55,28,53059055028
166,58,77,15,3,58077015003
167,61,49,86,10,61049086010
168,67,38,50,34,67038050034
169,63,31,25,24,63031025024
170,64,45,35,14,64045035014
171,65,47,57,35,65047057035
172,71,24,77,13,71024077013
173,75,37,87,36,75037087036
174,76,42,89,35,76042089035
175,83,33,119,19,83033119019
176,88,24,72,14,88024072014
177,98,34,118,7,98034118007
178,99,22,114,13,99022114013
179,100,31,26,24,100031026024
180,102,48,20,20,102048020020
181,103,38,32,28,103038032028
182,105,45,7,24,105045007024
183,109,52,74,6,109052074006
184,110,41,51,39,110041051039
185,111,48,34,41,111048034041
186,120,31,123,30,120031123030
187,121,49,18,35,121049018035
188,122,54,29,17,122054029017
189,125,33,43,28,125033043028
190,126,35,5,28,126035005028
191,128,35,17,32,128035017032
192,124,49,36,31,124049036031
193,129,30,62,6,129030062006
194,40,42,26,14,40042026014
195,107,55,46,19,107055046019
196,17,55,108,53,17055108053
197,126,44,99,6,126044099006
198,1,28,70,14,1028070014
199,2,31,48,27,2031048027
200,3,34,49,6,3034049006
201,4,17,37,3,4017037003
202,10,58,52,7,10058052007
203,12,45,45,42,12045045042
204,13,21,117,10,13021117010
205,14,35,16,3,14035016003
206,19,28,116,23,19028116023
207,113,47,29,29,113047029029
208,22,42,53,36,22042053036
209,24,47,85,6,24047085006
210,28,28,15,25,28028015025
211,32,13,120,6,32013120006
212,31,33,30,31,31033030031
213,39,38,72,17,39038072017
214,43,24,62,21,43024062021
215,54,42,66,7,54042066007
216,50,28,118,7,50028118007
217,56,50,88,7,56050088007
218,59,35,38,21,59035038021
219,61,14,129,7,61014129007
220,67,30,76,13,67030076013
221,64,48,58,28,64048058028
222,71,31,42,16,71031042016
223,115,45,34,20,115045034020
224,73,48,92,41,73048092041
225,74,37,51,31,74037051031
226,75,37,33,35,75037033035
227,69,33,125,16,69033125016
228,68,31,11,24,68031011024
229,77,38,44,31,77038044031
230,78,50,100,33,78050100033
231,79,17,60,7,79017060007
232,80,58,90,0,80058090000
233,81,52,101,46,81052101046
234,82,49,104,31,82049104031
235,83,52,20,17,83052020017
236,86,29,63,26,86029063026
237,87,43,55,27,87043055027
238,94,42,91,24,94042091024
239,96,45,21,20,96045021020
240,97,41,6,20,97041006020
241,98,44,89,28,98044089028
242,102,45,93,20,102045093020
243,103,34,35,31,103034035031
244,105,24,95,13,105024095013
245,109,34,41,13,109034041013
246,110,31,57,24,110031057024
247,114,45,5,24,114045005024
248,121,34,27,20,121034027020
249,127,51,84,33,127051084033
250,128,17,47,16,128017047016
251,124,49,18,10,124049018010
252,130,38,25,17,130038025017
253,8,27,36,26,8027036026
254,50,55,123,52,50055123052
255,58,34,102,27,58034102027
256,13,49,73,21,13049073021
257,22,56,14,10,22056014010
258,83,36,57,16,83036057016
259,111,43,93,40,111043093040
260,2,35,60,13,2035060013
261,3,49,7,30,3049007030
262,6,23,114,20,6023114020
263,10,38,65,14,10038065014
264,17,31,62,14,17031062014
265,18,24,11,21,18024011021
266,25,31,117,24,25031117024
267,26,20,21,9,26020021009
268,27,13,9,6,27013009006
269,31,35,118,21,31035118021
270,33,20,59,19,33020059019
271,37,41,106,21,37041106021
272,39,34,92,17,39034092017
273,41,34,52,31,41034052031
274,44,14,63,7,44014063007
275,47,44,107,38,47044107038
276,48,44,16,20,48044016020
277,49,20,120,13,49020120013
278,61,78,90,0,61078090000
279,70,46,40,40,70046040040
280,72,27,34,22,72027034022
281,69,10,78,3,69010078003
282,76,38,55,21,76038055021
283,79,30,15,24,79030015024
284,80,38,43,17,80038043017
285,81,45,104,40,81045104040
286,82,38,45,31,82038045031
287,85,47,19,44,85047019044
288,86,38,56,14,86038056014
289,87,37,38,34,87037038034
290,88,34,42,31,88034042031
291,91,26,115,7,91026115007
292,96,38,29,22,96038029022
293,97,21,24,17,97021024017
294,105,45,103,38,105045103038
295,101,24,46,23,101024046023
296,119,55,98,32,119055098032
297,108,35,28,20,108035028020
298,116,36,5,23,116036005023
299,122,34,75,3,122034075003
300,125,28,100,9,125028100009
301,126,70,84,21,126070084021
302,127,42,99,16,127042099016
303,124,45,68,30,124045068030
304,130,35,1,26,130035001026
305,20,28,30,23,20028030023
306,35,28,95,14,35028095014
307,4,24,51,0,4024051000
308,17,28,65,21,17028065021
309,53,24,27,14,53024027014
310,58,24,110,14,58024110014
311,91,17,34,3,91017034003
312,3,49,103,10,3049103010
313,7,34,64,30,7034064030
314,8,17,94,7,8017094007
315,11,31,16,21,11031016021
316,12,49,46,7,12049046007
317,13,28,25,23,13028025023
318,18,34,68,28,18034068028
319,22,24,69,17,22024069017
320,24,40,6,16,24040006016
321,28,27,79,20,28027079020
322,32,40,66,14,32040066014
323,31,27,20,26,31027020026
324,33,17,125,6,33017125006
325,38,35,36,24,38035036024
326,40,38,111,31,40038111031
327,41,55,74,23,41055074023
328,42,24,90,7,42024090007
329,44,49,88,35,44049088035
330,54,45,98,10,54045098010
331,50,56,57,28,50056057028
332,52,40,106,34,52040106034
333,55,27,30,21,55027030021
334,60,18,48,14,60018048014
335,63,31,56,10,63031056010
336,71,27,43,22,71027043022
337,115,41,39,38,115041039038
338,73,45,1,40,73045001040
339,75,20,59,13,75020059013
340,77,54,62,40,77054062040
341,80,30,129,23,80030129023
342,81,38,47,17,81038047017
343,87,45,121,31,87045121031
344,92,14,72,10,92014072010
345,96,42,26,27,96042026027
346,97,48,5,14,97048005014
347,99,17,78,10,99017078010
348,100,31,122,17,100031122017
349,102,26,113,25,102026113025
350,104,27,45,6,104027045006
351,119,14,89,13,119014089013
352,108,42,15,35,108042015035
353,109,31,37,21,109031037021
354,116,19,85,14,116019085014
355,120,17,35,16,120017035016
356,127,27,114,21,127027114021
357,128,48,107,17,128048107017
358,123,44,67,43,123044067043
359,124,41,2,0,124041002000
360,13,28,17,27,13028017027
361,109,28,94,21,109028094021
362,122,37,59,16,122037059016
363,19,52,84,49,19052084049
364,91,42,92,3,91042092003
365,102,46,96,30,102046096030
366,2,35,11,25,2035011025
367,3,33,105,14,3033105014
368,4,37,41,19,4037041019
369,10,56,7,3,10056007003
370,113,24,26,16,113024026016
371,20,27,55,24,20027055024
372,21,31,29,19,21031029019
373,24,10,99,5,24010099005
374,25,42,115,23,25042115023
375,36,22,74,19,36022074019
376,39,34,1,27,39034001027
377,47,24,104,21,47024104021
378,49,40,65,38,49040065038
379,51,27,106,3,51027106003
380,54,38,64,21,54038064021
381,50,44,31,24,50044031024
382,53,54,69,13,53054069013
383,56,28,62,17,56028062017
384,60,40,15,26,60040015026
385,61,41,42,8,61041042008
386,67,51,66,45,67051066045
387,63,34,90,32,63034090032
388,70,42,58,28,70042058028
389,71,27,88,14,71027088014
390,73,59,52,17,73059052017
391,75,35,121,14,75035121014
392,76,35,9,18,76035009018
393,68,44,16,7,68044016007
394,77,24,43,14,77024043014
395,79,14,48,10,79014048010
396,81,66,107,59,81066107059
397,82,44,46,20,82044046020
398,86,24,80,21,86024080021
399,95,34,57,28,95034057028
400,93,38,40,16,93038040016
401,100,28,14,20,100028014020
402,118,52,119,49,118052119049
403,108,31,18,17,108031018017
404,111,50,110,27,111050110027
405,116,52,114,45,116052114045
406,117,38,34,20,117038034020
407,126,41,85,17,126041085017
408,127,37,6,32,127037006032
409,128,34,101,10,128034101010
410,123,59,83,24,123059083024
411,124,45,28,31,124045028031
412,129,17,44,9,129017044009
413,130,42,72,34,130042072034
414,4,34,36,10,4034036010
415,16,41,2,20,16041002020
416,79,31,108,26,79031108026
417,97,45,19,24,97045019024
418,122,39,87,36,122039087036
419,1,31,34,21,1031034021
420,91,40,117,13,91040117013
421,96,52,70,45,96052070045
422,8,51,52,10,8051052010
423,9,21,125,13,9021125013
424,10,40,64,29,10040064029
425,14,21,69,14,14021069014
426,22,37,33,34,22037033034
427,29,41,26,3,29041026003
428,32,24,35,10,32024035010
429,38,38,27,35,38038027035
430,40,31,113,24,40031113024
431,43,42,56,36,43042056036
432,47,31,45,26,47031045026
433,48,27,18,24,48027018024
434,49,35,66,21,49035066021
435,50,61,89,16,50061089016
436,53,32,121,25,53032121025
437,60,28,28,15,60028028015
438,61,32,62,23,61032062023
439,67,42,31,35,67042031035
440,63,40,42,17,63040042017
441,73,28,39,21,73028039021
442,78,30,59,27,78030059027
443,80,24,77,20,80024077020
444,81,56,46,3,81056046003
445,82,37,128,20,82037128020
446,83,31,118,21,83031118021
447,84,54,6,35,84054006035
448,86,62,88,24,86062088024
449,92,30,115,24,92030115024
450,94,13,37,10,94013037010
451,95,24,103,21,95024103021
452,93,35,110,31,93035110031
453,98,24,55,14,98024055014
454,99,34,5,10,99034005010
455,102,34,21,13,102034021013
456,104,35,12,34,104035012034
457,105,52,74,10,105052074010
458,107,27,101,24,107027101024
459,119,31,76,17,119031076017
460,111,59,58,30,111059058030
461,126,31,116,24,126031116024
462,127,35,85,31,127035085031
463,123,52,30,3,123052030003
464,129,23,71,17,129023071017
465,130,30,13,28,130030013028
466,68,45,15,20,68045015020
467,124,52,11,20,124052011020
468,108,48,2,17,108048002017
469,8,31,37,16,8031037016
470,24,20,114,10,24020114010
471,79,34,16,10,79034016010
472,81,34,45,24,81034045024
473,13,45,92,31,13045092031
474,60,37,18,17,60037018017
475,102,21,26,0,102021026000
476,1,31,9,12,1031009012
477,3,10,54,0,3010054000
478,4,35,106,10,4035106010
479,7,31,32,10,7031032010
480,10,23,120,16,10023120016
481,17,20,21,3,17020021003
482,113,37,110,6,113037110006
483,20,38,98,27,20038098027
484,22,54,100,0,22054100000
485,25,37,34,0,25037034000
486,30,42,89,25,30042089025
487,33,24,69,20,33024069020
488,35,27,49,24,35027049024
489,41,23,51,13,41023051013
490,42,31,62,27,42031062027
491,43,33,90,27,43033090027
492,50,45,76,24,50045076024
493,52,42,94,35,52042094035
494,53,52,14,7,53052014007
495,58,51,93,7,58051093007
496,59,51,87,28,59051087028
497,61,59,56,3,61059056003
498,63,44,88,31,63044088031
499,64,37,36,27,64037036027
500,65,35,105,28,65035105028
501,70,28,78,27,70028078027
502,73,35,72,26,73035072026
503,75,48,38,20,75048038020
504,80,62,71,3,80062071003
505,82,43,47,37,82043047037
506,83,38,55,14,83038055014
507,86,41,44,14,86041044014
508,91,55,39,0,91055039000
509,95,31,66,21,95031066021
510,97,45,84,20,97045084020
511,99,26,85,15,99026085015
512,104,45,107,37,104045107037
513,101,62,12,22,101062012022
514,119,45,67,25,119045067025
515,109,52,57,31,109052057031
516,111,45,29,24,111045029024
517,122,24,27,21,122024027021
518,125,27,121,20,125027121020
519,126,66,19,27,126066019027
520,127,69,5,7,127069005007
521,128,48,46,21,128048046021
522,123,49,31,21,123049031021
523,129,21,77,7,129021077007
524,130,52,117,28,130052117028
525,28,48,11,41,28048011041
526,124,37,48,21,124037048021
527,15,38,2,28,15038002028
528,108,31,68,24,108031068024
529,27,28,75,27,27028075027
530,51,33,36,26,51033036026
531,116,49,6,26,116049006026
532,33,45,14,7,33045014007
533,1,49,25,46,1049025046
534,3,51,65,3,3051065003
535,8,41,74,22,8041074022
536,13,52,39,16,13052039016
537,113,24,21,3,113024021003
538,24,49,5,24,24049005024
539,32,20,95,7,32020095007
540,30,35,118,31,30035118031
541,35,13,10,7,35013010007
542,38,30,122,20,38030122020
543,40,30,110,18,40030110018
544,41,47,106,14,41047106014
545,44,14,61,13,44014061013
546,45,31,46,24,45031046024
547,54,38,7,10,54038007010
548,50,63,119,35,50063119035
549,52,37,37,23,52037037023
550,53,44,125,12,53044125012
551,55,42,67,17,55042067017
552,59,34,121,14,59034121014
553,60,35,16,24,60035016024
554,62,49,90,0,62049090000
555,64,29,105,28,64029105028
556,66,26,120,17,66026120017
557,70,42,111,40,70042111040
558,71,24,63,17,71024063017
559,115,69,130,66,115069130066
560,73,24,117,21,73024117021
561,69,35,100,20,69035100020
562,77,45,88,17,77045088017
563,78,44,9,6,78044009006
564,80,62,56,3,80062056003
565,81,45,12,24,81045012024
566,82,45,107,44,82045107044
567,83,51,98,35,83051098035
568,86,45,43,31,86045043031
569,87,43,22,42,87043022042
570,89,22,20,21,89022020021
571,91,46,72,16,91046072016
572,96,49,58,42,96049058042
573,97,26,126,13,97026126013
574,93,55,29,31,93055029031
575,99,52,84,27,99052084027
576,103,49,49,36,103049049036
577,109,28,4,24,109028004024
578,114,38,85,24,114038085024
579,127,56,19,21,127056019021
580,128,24,104,20,128024104020
581,123,45,76,7,123045076007
582,129,48,42,3,129048042003
583,15,42,48,7,15042048007
584,18,27,79,20,18027079020
585,68,31,28,24,68031028024
586,108,37,11,19,108037011019
587,8,35,109,3,8035109003
588,40,36,53,10,40036053010
589,13,42,115,25,13042115025
590,58,34,21,7,58034021007
591,1,41,92,38,1041092038
592,4,42,52,17,4042052017
593,7,58,65,42,7058065042
594,14,30,26,0,14030026000
595,17,51,57,9,17051057009
596,22,35,125,13,22035125013
597,24,38,127,24,24038127024
598,25,49,73,31,25049073031
599,32,16,54,10,32016054010
600,31,31,55,14,31031055014
601,33,45,100,14,33045100014
602,35,35,51,21,35035051021
603,37,30,36,24,37030036024
604,38,31,121,17,38031121017
605,39,14,34,13,39014034013
606,44,28,42,0,44028042000
607,45,66,107,10,45066107010
608,46,24,104,21,46024104021
609,47,42,12,21,47042012021
610,59,27,69,13,59027069013
611,61,20,43,10,61020043010
612,67,38,20,31,67038020031
613,63,29,77,12,63029077012
614,70,66,29,31,70066029031
615,71,28,56,7,71028056007
616,72,38,117,37,72038117037
617,74,50,106,10,74050106010
618,76,29,98,23,76029098023
619,80,17,62,16,80017062016
620,81,56,128,28,81056128028
621,82,31,101,6,82031101006
622,83,42,30,24,83042030024
623,84,30,116,28,84030116028
624,85,42,5,17,85042005017
625,86,39,90,0,86039090000
626,87,56,27,14,87056027014
627,89,44,118,24,89044118024
628,96,35,93,27,96035093027
629,97,36,114,14,97036114014
630,99,45,19,31,99045019031
631,102,31,110,0,102031110000
632,103,63,66,37,103063066037
633,105,23,119,10,105023119010
634,111,35,113,20,111035113020
635,120,38,64,17,120038064017
636,122,34,78,31,122034078031
637,126,44,6,18,126044006018
638,124,38,16,0,124038016000
639,129,49,88,20,129049088020
640,130,34,91,33,130034091033
641,28,26,18,21,28026018021
642,60,21,11,20,60021011020
643,79,9,2,3,79009002003
644,54,54,105,39,54054105039
645,1,27,13,20,1027013020
646,5,56,6,35,5056006035
647,15,27,16,19,15027016019
648,44,40,71,10,44040071010
649,58,48,40,44,58048040044
650,66,28,7,24,66028007024
651,69,28,75,21,69028075021
652,68,31,48,21,68031048021
653,98,39,50,24,98039050024
654,101,31,104,9,101031104009
655,107,54,12,35,107054012035
656,111,40,21,37,111040021037
657,126,45,127,17,126045127017
658,124,55,108,35,124055108035
659,3,30,10,12,3030010012
660,4,37,74,7,4037074007
661,14,17,125,14,14017125014
662,17,28,117,10,17028117010
663,19,36,114,10,19036114010
664,22,56,95,7,22056095007
665,24,27,116,22,24027116022
666,25,63,91,31,25063091031
667,33,31,32,13,33031032013
668,38,28,35,27,38028035027
669,39,46,57,40,39046057040
670,41,38,94,31,41038094031
671,43,26,88,24,43026088024
672,47,34,46,19,47034046019
673,49,41,53,38,49041053038
674,51,24,8,19,51024008019
675,56,31,90,13,56031090013
676,59,40,27,21,59040027021
677,67,77,30,56,67077030056
678,65,55,64,20,65055064020
679,70,75,93,31,70075093031
680,72,45,115,10,72045115010
681,73,56,130,35,73056130035
682,77,42,42,21,77042042021
683,80,30,61,27,80030061027
684,83,42,31,28,83042031028
685,85,34,84,24,85034084024
686,86,45,62,12,86045062012
687,87,76,100,61,87076100061
688,92,16,34,14,92016034014
689,96,48,113,31,96048113031
690,97,45,78,27,97045078027
691,99,41,89,17,99041089017
692,102,37,29,10,102037029010
693,118,52,76,24,118052076024
694,119,33,20,14,119033020014
695,109,40,106,7,109040106007
696,110,38,26,13,110038026013
697,120,45,103,34,120045103034
698,122,52,121,10,122052121010
699,128,49,45,19,128049045019
700,123,60,55,6,123060055006
701,129,31,63,17,129031063017
702,126,41,24,10,126041024010
703,124,29,79,23,124029079023
704,3,54,32,16,3054032016
705,8,36,106,14,8036106014
706,22,42,122,35,22042122035
707,36,28,109,24,36028109024
708,41,37,37,12,41037037012
709,47,30,101,6,47030101006
710,51,30,52,3,51030052003
711,81,38,82,20,81038082020
712,86,38,129,31,86038129031
713,91,27,130,24,91027130024
714,94,35,74,28,94035074028
715,102,34,70,10,102034070010
716,128,24,12,21,128024012021
717,123,58,50,44,123058050044
718,9,21,70,17,9021070017
719,4,31,108,28,4031108028
720,8,31,113,13,8031113013
721,73,23,119,20,73023119020
722,91,34,40,10,91034040010
723,98,28,51,21,98028051021
724,111,55,18,10,111055018010
725,123,51,58,31,123051058031
726,17,24,130,21,17024130021
727,41,61,25,50,41061025050
728,50,48,70,45,50048070045
729,83,24,28,20,83024028020
730,109,28,79,23,109028079023
731,39,52,67,35,39052067035
732,14,36,56,30,14036056030
733,65,17,60,16,65017060016
734,69,41,120,17,69041120017
735,9,38,76,31,9038076031
736,12,31,13,12,12031013012
737,63,17,127,12,63017127012
738,125,34,102,26,125034102026
739,47,33,105,28,47033105028
740,59,31,128,14,59031128014
741,77,31,87,24,77031087024
742,116,26,43,24,116026043024
743,82,38,24,8,82038024008
744,96,46,95,39,96046095039
745,122,35,7,24,122035007024
746,1,45,94,21,1045094021
747,33,33,61,32,33033061032
748,35,31,101,23,35031101023
749,99,25,75,23,99025075023
750,103,38,71,24,103038071024
751,3,24,126,7,3024126007
752,22,31,80,0,22031080000
753,38,33,49,18,38033049018
754,54,29,53,9,54029053009
755,32,30,44,3,32030044003
756,81,35,10,19,81035010019
757,97,52,86,49,97052086049
758,129,24,124,16,129024124016
759,22,35,3,31,22035003031
