,W,W Pts,L,L Pts,Hash
522,55,63,98,17,55063098017
523,61,10,77,9,61010077009
524,63,51,44,14,63051044014
525,76,31,30,10,76031030010
526,80,49,62,37,80049062037
527,83,38,31,35,83038031035
528,84,51,116,27,84051116027
529,86,13,43,7,86013043007
530,89,17,119,7,89017119007
531,91,35,41,21,91035041021
532,104,33,128,16,104033128016
533,105,41,10,38,105041010038
534,101,41,47,20,101041047020
535,109,45,37,21,109045037021
536,110,31,40,24,110031040024
537,111,38,93,28,111038093028
538,114,44,126,30,114044126030
539,127,39,85,32,127039085032
540,123,35,118,27,123035118027
541,129,34,88,16,129034088016
542,16,55,2,24,16055002024
543,68,27,108,24,68027108024
544,15,30,48,20,15030048020
545,57,24,11,10,57024011010
546,21,54,29,46,21054029046
547,97,38,19,30,97038019030
548,119,12,98,10,119012098010
549,113,31,111,7,113031111007
550,1,45,72,38,1045072038
551,3,25,65,20,3025065020
552,4,37,8,32,4037008032
553,5,27,126,26,5027126026
554,7,17,54,0,7017054000
555,13,38,91,29,13038091029
556,17,42,115,23,17042115023
557,18,34,60,27,18034060027
558,31,38,67,28,31038067028
559,33,30,59,26,33030059026
560,35,34,10,7,35034010007
561,38,28,22,6,38028022006
562,39,13,92,0,39013092000
563,44,30,42,14,44030042014
564,51,34,52,27,51034052027
565,55,41,89,14,55041089014
566,58,38,110,7,58038110007
567,62,37,56,15,62037056015
568,66,34,105,27,66034105027
569,70,52,36,19,70052036019
570,75,40,87,35,75040087035
571,69,42,125,13,69042125013
572,77,43,78,40,77043078040
573,80,31,63,24,80031063024
574,81,42,107,30,81042107030
575,85,35,6,27,85035006027
576,86,30,102,13,86030102013
577,90,45,43,23,90045043023
578,94,24,106,20,94024106020
579,95,23,32,20,95023032020
580,96,14,93,13,96014093013
581,103,50,49,16,103050049016
582,104,28,82,7,104028082007
583,101,34,46,30,101034046030
584,118,35,76,17,118035076017
585,109,34,41,17,109034041017
586,116,20,99,17,116020099017
587,117,28,73,21,117028073021
588,122,17,27,16,122017027016
589,123,52,9,24,123052009024
590,124,51,28,7,124051028007
