,Hash,W,W Pts,L,L Pts,Line
272,50038118035,50,38,118,35,-2.5
273,80040077030,80,40,77,30,-7.0
274,43044086024,43,44,86,24,4.0
275,92037039027,92,37,39,27,-4.0
276,53024090010,53,24,90,10,-19.0
277,91027001020,91,27,1,20,-4.0
278,97038005031,97,38,5,31,-6.0
279,21038102020,21,38,102,20,-20.0
280,104036081020,104,36,81,20,13.5
281,62042043028,62,42,43,28,-10.0
282,122019087009,122,19,87,9,-7.0
283,57017060010,57,17,60,10,-6.5
284,22024014014,22,24,14,14,-23.5
285,16033124000,16,33,124,0,-9.5
286,18026079023,18,26,79,23,20.0
287,9050028025,9,50,28,25,-10.0
288,56027121026,56,27,121,26,-5.0
289,96013026010,96,13,26,10,4.0
290,27035070007,27,35,70,7,-4.5
291,109035037028,109,35,37,28,-15.0
292,105041064038,105,41,64,38,-7.0
293,11027048024,11,27,48,24,-13.5
294,65021015020,65,21,15,20,-11.5
295,68027002020,68,27,2,20,-24.0
296,107042045035,107,42,45,35,-14.0
297,89027119021,89,27,119,21,-1.0
298,130038073031,130,38,73,31,-13.0
299,116027099021,116,27,99,21,7.0
300,17038038020,17,38,38,20,-7.0
301,71044088007,71,44,88,7,-13.0
302,66041035026,66,41,35,26,7.0
303,12035047025,12,35,47,25,-16.5
304,54017032006,54,17,32,6,-7.0
305,6054024013,6,54,24,13,-28.0
306,84045126024,84,45,126,24,-12.0
307,114037019010,114,37,19,10,-25.5
308,129035077006,129,35,77,6,-11.0
309,110036029033,110,36,29,33,13.5
310,95052007007,95,52,7,7,-5.0
311,3048049007,3,48,49,7,-26.0
312,92034025027,92,34,25,27,3.5
313,8048041024,8,48,41,24,-26.5
314,86043061040,86,43,61,40,1.0
315,100024069010,100,24,69,10,6.0
316,40025058015,40,25,58,15,-8.0
317,112027031024,112,27,31,24,-6.0
318,55024030023,55,24,30,23,-10.0
319,101027046017,101,27,46,17,-24.0
320,76034067007,76,34,67,7,-6.0
321,52021106014,52,21,106,14,5.5
322,13034117023,13,34,117,23,-5.0
323,85052127024,85,52,127,24,0.0
324,111034118020,111,34,118,20,-10.0
325,115039039037,115,39,39,37,-7.5
326,51037123020,51,37,123,20,3.0
327,59027075023,59,27,75,23,-9.0
328,113038053035,113,38,53,35,14.5
329,27035121022,27,35,121,22,2.5
330,102033009014,102,33,9,14,1.0
331,79056028028,79,56,28,28,-13.5
332,11038124017,11,38,124,17,-18.5
333,68038018017,68,38,18,17,-14.5
334,62014088000,62,14,88,0,-28.0
335,29055098014,29,55,98,14,-24.0
336,33051022014,33,51,22,14,-4.5
337,125034056010,125,34,56,10,4.5
338,107037128027,107,37,128,27,-3.5
339,63020077017,63,20,77,17,12.5
340,108045070044,108,45,70,44,-9.0
341,21041026016,21,41,26,16,-14.0
342,93034058029,93,34,58,29,3.5
343,25052130022,25,52,130,22,6.5
344,10045105041,10,45,105,41,12.5
345,84062127038,84,62,127,38,-39.5
346,61063043047,61,63,43,47,-8.5
347,38056100000,38,56,100,0,-7.0
348,85049019017,85,49,19,17,-11.0
349,80034044024,80,34,44,24,-19.0
350,3052007000,3,52,7,0,-29.0
351,103023095021,103,23,95,21,7.0
352,6053126024,6,53,126,24,-3.5
353,76028050013,76,28,50,13,-3.5
354,94038048021,94,38,48,21,-7.5
355,117045073010,117,45,73,10,-14.0
356,66036032017,66,36,32,17,3.0
357,64027054024,64,27,54,24,10.0
358,17047040046,17,47,40,46,-10.0
359,16032057003,16,32,57,3,-19.5
360,106024037017,106,24,37,17,-16.0
361,2024060017,2,24,60,17,-6.0
362,12071045007,12,71,45,7,-33.0
363,81034046019,81,34,46,19,-21.0
364,82024101010,82,24,101,10,-6.5
365,99024114010,99,24,114,10,-4.0
366,78014097010,78,14,97,10,-2.0
367,89045074019,89,45,74,19,-17.0
368,13034072017,13,34,72,17,-23.5
369,129056042032,129,56,42,32,-14.5
370,120031035027,120,31,35,27,6.5
371,5035116024,5,35,116,24,-3.5
372,34038115014,34,38,115,14,-24.5
373,51023008007,51,23,8,7,-1.0
374,65028049022,65,28,49,22,-12.0
375,67051055049,67,51,55,49,9.5
376,17037013020,17,37,13,20,-6.5
377,38035121025,38,35,121,25,-10.0
378,113062026017,113,62,26,17,-24.5
379,11042002024,11,42,2,24,-9.5
380,79041060016,79,41,60,16,-26.0
381,16041048021,16,41,48,21,-3.0
382,124031057030,124,31,57,30,4.5
383,40049090014,40,49,90,14,7.0
384,75034014010,75,34,14,10,-5.5
385,22040056027,22,40,56,27,-16.5
386,27013122010,27,13,122,10,12.0
387,70024087021,70,24,87,21,4.5
388,119052112031,119,52,112,31,-8.0
389,93059102049,93,59,102,49,-14.0
390,68059028020,68,59,28,20,-31.5
391,5044024020,5,44,24,20,-12.5
392,105056120024,105,56,120,24,-17.5
393,10045030010,10,45,30,10,-23.0
394,3045103010,3,45,103,10,-27.5
395,84042114014,84,42,114,14,-23.5
396,97019116003,97,19,116,3,-4.5
397,110014111007,110,14,111,7,3.0
398,126041019017,126,41,19,17,-28.0
399,47035128012,47,35,128,12,-13.0
400,62042042003,62,42,42,3,-8.0
401,59024125021,59,24,125,21,-25.5
402,33049069017,33,49,69,17,-35.0
403,81038107030,81,38,107,30,-6.5
404,104030101007,104,30,101,7,3.0
405,44017077010,44,17,77,10,-3.5
406,115027072022,115,27,72,22,6.0
407,92051130044,92,51,130,44,-10.5
408,99020085012,99,20,85,12,-4.0
409,109032123026,109,32,123,26,10.0
410,78045001010,78,45,1,10,-19.5
411,52038037010,52,38,37,10,-15.5
412,106033094031,106,33,94,31,2.5
413,64059041014,64,59,41,14,-41.5
414,76055098014,76,55,98,14,-12.0
415,50023031007,50,23,31,7,-4.5
416,95027066024,95,27,66,24,3.0
417,82058045027,82,58,45,27,-12.5
418,12059046014,12,59,46,14,-34.5
419,63034071023,63,34,71,23,10.0
420,53034096003,53,34,96,3,-21.0
421,108028015025,108,28,15,25,3.5
422,80063086014,80,63,86,14,-15.0
423,89045118007,89,45,118,7,-17.0
424,34035091028,34,35,91,28,-6.0
425,25035039028,25,35,39,28,-2.0
426,21034058021,21,34,58,21,-1.5
427,40035096023,40,35,96,23,-18.5
428,76028089016,76,28,89,16,-2.5
429,52049109037,52,49,109,37,3.0
430,6055127021,6,55,127,21,-11.0
431,97031085014,97,31,85,14,4.5
432,22059121010,22,59,121,10,-17.0
433,14034122027,14,34,122,27,3.5
434,108055028016,108,55,28,16,-30.5
435,68063057019,68,63,57,19,-27.5
436,2016048007,2,16,48,7,-1.5
437,90023102020,90,23,102,20,-11.5
438,86024042017,86,24,42,17,-12.0
439,38021087010,38,21,87,10,-10.5
440,100013125000,100,13,125,0,-4.0
441,123044037028,123,44,37,28,-19.0
442,66031103003,66,31,103,3,-10.5
443,47041045007,47,41,45,7,-17.5
444,55061098013,55,61,98,13,-31.5
445,105057118007,105,57,118,7,-48.0
